time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
94,0.9992864175463111,0.00027616253157284487,0.0001941547055101657,0.0002288684366408814,4.2921241204257005e-05,2.751534114818357e-05,1.4934977346935824e-05,1.4329505292330317e-05,0.9999999327253273
95,0.9992408053181975,0.00029237572770172564,0.00020666779463867952,0.00024487980875156033,4.57467774590827e-05,2.9331757312000085e-05,1.5742273419743165e-05,1.5338625383339496e-05,1.0000000672746727
96,0.9991922330044836,0.00030953076924888163,0.00021998817984000065,0.00026183302628051455,4.823594035023868e-05,3.108089880308266e-05,1.6684118838018397e-05,1.634774547434867e-05,0.9999999327253273
97,0.9991433243174059,0.0003256766907050285,0.0002339140370959273,0.00027966081455501,4.897596175031207e-05,3.289731496689918e-05,1.7962337619963357e-05,1.722231621988996e-05,0.9999997981759818
98,0.9990917919180917,0.00034236080954304685,0.0002483780917337255,0.00029869954693871647,5.159967398693593e-05,3.484828047618359e-05,1.9106007056440423e-05,1.8365985656367026e-05,0.9999995963519637
99,0.9990375012571955,0.00036005404847207445,0.00026378399178979896,0.00031921832212256974,5.4492484914495574e-05,3.666469664000011e-05,2.038422583838538e-05,1.957692976557804e-05,1.0000001345493454
100,0.9989794432146261,0.0003792946048739828,0.0002795262652095421,0.0003408807667429001,5.778894387845888e-05,3.8682936822018466e-05,2.1796993965798228e-05,2.0922423220256943e-05,1.0000000672746727
101,0.998920779700002,0.00039718966782121217,0.000295604911992955,0.00036375415547244144,5.8798063969468064e-05,4.076845167677076e-05,2.314248742047713e-05,2.2402466020403734e-05,0.999999730901309
102,0.9988582815290322,0.00041663204824132235,0.00031249085484917524,0.0003887130590567351,6.209452293343137e-05,4.2719417186055174e-05,2.4622530220623926e-05,2.388250882055053e-05,1.0
103,0.9987927559977894,0.00043735264744337746,0.0003297131710690652,0.0004148156320775058,6.566008058833047e-05,4.487220671354142e-05,2.6035298348036774e-05,2.5429826293431267e-05,1.0000000672746727
104,0.9987231267115098,0.0004592169160819096,0.00034794460737996435,0.0004423982478984233,6.949473693416534e-05,4.7226820259229495e-05,2.7582615820917512e-05,2.717896778451384e-05,0.9999998654506544
105,0.9986506046143026,0.0004818884807932491,0.00036644514238179924,0.00047199910390135916,7.279119589812865e-05,4.9715983150385465e-05,2.9466306657467976e-05,2.899538394833036e-05,0.9999999327253273
106,0.9985757951782224,0.000504089122795451,0.0003860220721473773,0.0005033491013953776,7.460761206194518e-05,5.240697005974327e-05,3.121544814855055e-05,3.081180011214688e-05,1.0000000672746727
107,0.9984978238325237,0.0005278370822705337,0.0004055317272402214,0.0005363809657077447,7.82404443895782e-05,5.4694308932697405e-05,3.2964589639633125e-05,3.2560941603229456e-05,1.0000001345493454
108,0.9984155469077701,0.0005524596124911576,0.00042652142513321224,0.0005710274221657264,8.227692475361492e-05,5.772166920572494e-05,3.4781005803449644e-05,3.47137311307157e-05,1.0000002690986909
109,0.9983287625799433,0.0005782930868209926,0.0004481838697535426,0.0006078266681511944,8.664977848132136e-05,6.068175480601853e-05,3.6597421967266164e-05,3.6866520658201946e-05,0.9999999327253272
110,0.9982518676290084,0.0005917480213677816,0.0004707881597921482,0.0006465096049732129,7.68949509348993e-05,6.350729106084422e-05,3.8615662149284515e-05,3.8884760840220297e-05,0.9999997981759818
111,0.9981713398457459,0.0006067502733874513,0.0004936615485216895,0.0006870089579590479,8.099870597166996e-05,6.579462993379836e-05,4.063390233130287e-05,4.137392373137627e-05,1.0000001345493454
112,0.9980908793371561,0.000618186967752222,0.0005169385852876345,0.0007299301991633049,8.019140989886262e-05,6.855289151589011e-05,4.2517593167853336e-05,4.386308662253224e-05,0.9999997981759818
113,0.9980203754801309,0.0006184560664431578,0.000539610149998974,0.0007749369552223142,7.036930767970663e-05,7.043658235244058e-05,4.487220671354142e-05,4.635224951368821e-05,0.999999730901309
114,0.9979469788121782,0.0006199361092433046,0.000561743517328442,0.0008220965008088097,7.380031598913783e-05,7.198389982532132e-05,4.7226820259229495e-05,4.917778576851391e-05,0.9999999327253272
115,0.9978726402988072,0.0006225598214799284,0.0005813204470940201,0.0008719470333046632,7.406941468007362e-05,7.218572384352315e-05,4.964870847765152e-05,5.193604735060566e-05,1.0000004036480363
116,0.9977989072574908,0.0006235016668982037,0.000598610037986644,0.0009238158059825349,7.34639426254681e-05,7.245482253445893e-05,5.207059669607355e-05,5.48288582781653e-05,0.9999996636266363
117,0.9977235596240288,0.0006264617524984972,0.0006134104659881119,0.0009785773895879663,7.575128149842224e-05,7.28584705708626e-05,5.462703425996346e-05,5.772166920572494e-05,0.999999730901309
118,0.9976456555530029,0.0006310364302444055,0.0006261926538075615,0.0010360299601027553,7.770224700770666e-05,7.326211860726627e-05,5.745257051478916e-05,6.095085349695431e-05,0.9999998654506547
119,0.9975688951514134,0.0006334583184628276,0.0006373602494813964,0.0010960389681814345,7.662585224396353e-05,7.427123869827544e-05,6.0143557424146965e-05,6.404548844271579e-05,0.9999997981759818
